sport,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,response_body_len,sjit,djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,Label
0,0,idrp,INT,4e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930678,1421930678,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,23,18,8,8,8,8,8,1
1043,53,udp,INT,7e-06,264,0,60,0,0,0,dns,150857136.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424260719,1424260719,0.007,0.0,0.0,0.0,0.0,0,0,,, ,29,29,9,9,9,9,29,0
1043,53,udp,INT,1e-06,114,0,254,0,0,0,dns,456000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424260286,1424260286,0.001,0.0,0.0,0.0,0.0,0,2,,, ,3,3,3,3,3,1,3,1
11774,6881,tcp,FIN,0.047623,2960,64718,31,29,6,26,-,485479.6875,10707095.0,42,66,255,255,1864509581,4017480329,70,981,0,0,65.561033,49.745335,1424254906,1424254906,1.182875,0.736219,0.000617,0.000502,0.000115,0,0,,, ,14,12,5,6,4,1,7,0
47439,53,udp,INT,3e-06,114,0,254,0,0,0,dns,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424259305,1424259305,0.003,0.0,0.0,0.0,0.0,0,2,,, ,20,20,16,18,16,16,20,1
20790,10202,tcp,FIN,0.553365,1524,398,254,252,2,2,-,19835.00977,5045.494629,10,8,255,255,1001214247,4083569853,152,50,0,0,3490.961895,106.180937,1424259095,1424259096,61.485,70.222859,0.10625,0.04767,0.05858,0,1,,, ,1,1,1,1,1,1,1,1
25556,80,tcp,FIN,1.019439,1580,10168,31,29,3,5,-,11370.95996,75366.94531,12,18,255,255,3456261564,3457344769,132,565,1,3924,9531.323018,7676.96002,1421944915,1421944916,92.641543,59.931119,0.000749,0.000606,0.000143,0,0,6.0,0.0,0,24,15,4,13,3,3,3,0
47439,53,udp,INT,3e-06,114,0,254,0,0,0,dns,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424253385,1424253385,0.003,0.0,0.0,0.0,0.0,0,2,,, ,32,32,18,18,18,18,32,1
38165,6881,tcp,FIN,0.019317,1540,1644,31,29,4,4,-,598022.5,643164.0625,16,18,255,255,1133978595,1138422120,96,91,0,0,77.438124,2.226067,1424261902,1424261902,1.265933,1.109882,0.000557,0.000446,0.000111,0,0,,, ,15,11,12,9,6,1,7,0
1043,53,udp,INT,3e-06,114,0,254,0,0,0,dns,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424255144,1424255144,0.003,0.0,0.0,0.0,0.0,0,2,,, ,34,34,34,34,34,16,34,1
47439,53,udp,INT,1e-06,264,0,60,0,0,0,dns,1056000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424259313,1424259313,0.001,0.0,0.0,0.0,0.0,0,0,,, ,14,14,14,14,14,14,14,0
54208,135,tcp,FIN,0.783213,588,268,254,252,2,1,-,5413.597656,2288.010986,10,6,255,255,3824815422,4226079770,59,45,0,0,4446.257675,222.42225,1424252306,1424252307,86.893,142.480203,0.166728,0.070807,0.095921,0,1,,, ,4,3,1,2,1,1,3,1
16523,80,tcp,FIN,0.651401,854,2136,62,252,2,2,http,9444.259766,22953.60352,10,8,255,255,3119598214,2236464893,85,267,1,639,3639.003077,125.329016,1424256924,1424256925,72.377889,76.678,0.207564,0.112931,0.094633,0,1,1.0,, ,1,2,1,1,1,1,1,1
14208,5190,tcp,FIN,0.006122,1958,2308,31,29,6,6,-,2442339.0,2890558.5,22,24,255,255,3845565218,1696591315,89,96,0,0,16.952192,12.864914,1421940016,1421940016,0.27519,0.21587,0.001326,0.001147,0.000179,0,0,0.0,0.0,0,6,4,5,4,1,1,1,0
47439,53,udp,INT,5e-06,264,0,60,0,0,0,dns,211200000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424251915,1424251915,0.005,0.0,0.0,0.0,0.0,0,0,,, ,43,43,15,15,15,15,43,0
42886,43611,tcp,FIN,0.005543,3640,2456,31,29,7,7,-,4961934.0,3348367.25,18,18,255,255,186488301,189879279,202,136,0,0,15.259449,0.501871,1424251506,1424251506,0.307706,0.296706,0.000619,0.000496,0.000123,0,0,,, ,3,10,5,3,1,1,3,0
47439,53,udp,INT,7e-06,264,0,60,0,0,0,dns,150857136.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424259262,1424259262,0.007,0.0,0.0,0.0,0.0,0,0,,, ,32,32,19,19,19,19,32,0
18686,5190,tcp,FIN,2.164347,2024,4416,31,29,6,6,-,7170.754395,15698.03809,24,26,255,255,2258943221,2259247155,84,170,0,0,6583.043084,180.028359,1421943489,1421943491,94.086867,86.548883,0.000793,0.000614,0.000179,0,0,0.0,0.0,0,8,5,1,3,1,1,1,0
61797,514,udp,INT,9e-06,196,0,254,0,0,0,-,87111112.0,0.0,2,0,0,0,0,0,98,0,0,0,0.0,0.0,1424260521,1424260521,0.009,0.0,0.0,0.0,0.0,0,2,,, ,2,2,1,1,1,1,2,1
47439,53,udp,INT,7e-06,114,0,254,0,0,0,dns,65142856.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421930871,1421930871,0.007,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,9,9,4,4,4,4,4,1
15471,53,udp,CON,0.001067,130,162,31,29,0,0,dns,487347.7188,607310.25,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421945162,1421945162,0.008,0.005,0.0,0.0,0.0,0,0,0.0,0.0,0,2,2,7,9,2,2,2,0
1043,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424253382,1424253382,0.009,0.0,0.0,0.0,0.0,0,2,,, ,44,44,35,34,34,16,44,1
41380,80,tcp,FIN,0.610668,790,2180,62,252,2,2,http,9314.389648,24995.57813,10,8,255,255,2037578401,3975384934,79,273,1,666,3975.483203,133.447,1424256642,1424256642,67.746556,76.975859,0.126226,0.071831,0.054395,0,1,1.0,, ,2,1,1,1,1,1,1,1
0,0,compaq-peer,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424258825,1424258825,0.009,0.0,0.0,0.0,0.0,0,2,,, ,7,7,3,4,3,3,8,1
